feature,importance
score_riesgo,0.2642928374486155
num_señales,0.10101120357034019
historial_siniestros_asegurado,0.09787592465233239
monto_promedio_reclamado,0.052421343554351345
porcentaje_casos_observados,0.04429430132353133
dias_entre_ocurrencia_reporte,0.04273885213987924
dias_desde_inicio_poliza,0.03523677199838324
ratio_monto_suma,0.03489570195285577
monto_estimado,0.02400425566949581
cobertura_enc,0.022729162096800804
monto_reclamado,0.022390926648866487
suma_asegurada_poliza,0.021661236309384123
prima,0.021247782781913974
pct_legibles,0.02043478180090189
dias_desde_fin_poliza,0.020292299200421988
ratio_reclamado_estimado,0.020283448222749047
score_cliente_simulado,0.01737995072266194
deducible_pct,0.01670389319206341
antiguedad_cliente_años,0.015670355854829933
pct_entregados,0.015214425219491285
docs_completos_enc,0.01351249314853328
siniestros_vehiculo_18m,0.012072064957552546
proveedor_lista_restrictiva_enc,0.010403131829362968
anio,0.008418254628679653
borde_vigencia_critico,0.007569972246330258
reclamos_ultimos_12m,0.007082998014229573
siniestros_periodo_18m,0.005487468146656352
total_documentos,0.00546758530077655
ramo_enc,0.005435092262557741
borde_vigencia_medio,0.003987738187520533
inconsistencias_doc,0.003484634757682403
docs_inconsistentes_enc,0.0026325729672527225
perfil_riesgo_enc,0.0016932488062591422
pct_inconsistent,0.001260206826930354
mora_enc,0.0007130835598062163
